Arista E_71: origen=V_63, pareja=E_70, cara=f42, siguiente=E_262, anterior=E_247
Arista E_72: origen=V_64, pareja=E_73, cara=f10, siguiente=E_15, anterior=E_99
Arista E_73: origen=V_13, pareja=E_72, cara=f53, siguiente=E_523, anterior=E_175
Arista E_74: origen=V_6, pareja=E_75, cara=f5, siguiente=E_475, anterior=E_6
Arista E_75: origen=V_65, pareja=E_74, cara=f43, siguiente=E_244, anterior=E_474
Arista E_76: origen=V_66, pareja=E_77, cara=f41, siguiente=E_70, anterior=E_297
Arista E_77: origen=V_62, pareja=E_76, cara=f39, siguiente=E_497, anterior=E_222
Arista E_78: origen=V_67, pareja=E_79, cara=f0, siguiente=E_215, anterior=E_304
Arista E_79: origen=V_68, pareja=E_78, cara=f53, siguiente=E_305, anterior=E_214
Arista E_80: origen=V_44, pareja=E_81, cara=f30, siguiente=E_199, anterior=E_51
Arista E_81: origen=V_46, pareja=E_80, cara=f31, siguiente=E_383, anterior=E_53
Arista E_82: origen=V_34, pareja=E_83, cara=f44, siguiente=E_376, anterior=E_218
Arista E_83: origen=V_69, pareja=E_82, cara=f6, siguiente=E_39, anterior=E_377
Arista E_84: origen=V_70, pareja=E_85, cara=f13, siguiente=E_166, anterior=E_408
Arista E_85: origen=V_71, pareja=E_84, cara=f45, siguiente=E_518, anterior=E_167
Arista E_86: origen=V_72, pareja=E_87, cara=f46, siguiente=E_299, anterior=E_279
Arista E_87: origen=V_12, pareja=E_86, cara=f10, siguiente=E_451, anterior=E_15
Arista E_88: origen=V_73, pareja=E_89, cara=f37, siguiente=E_66, anterior=E_412
Arista E_89: origen=V_59, pareja=E_88, cara=f38, siguiente=E_413, anterior=E_67
Arista E_90: origen=V_74, pareja=E_91, cara=f47, siguiente=E_409, anterior=E_526
Arista E_91: origen=V_70, pareja=E_90, cara=f25, siguiente=E_464, anterior=E_519
Arista E_92: origen=V_75, pareja=E_93, cara=f32, siguiente=E_55, anterior=E_329
Arista E_93: origen=V_49, pareja=E_92, cara=f27, siguiente=E_503, anterior=E_375
Arista E_94: origen=V_76, pareja=E_95, cara=f27, siguiente=E_375, anterior=E_108
Arista E_95: origen=V_77, pareja=E_94, cara=f28, siguiente=E_109, anterior=E_307
Arista E_96: origen=V_78, pareja=E_97, cara=f48, siguiente=E_372, anterior=E_390
Arista E_97: origen=V_79, pareja=E_96, cara=f37, siguiente=E_391, anterior=E_373
Arista E_98: origen=V_64, pareja=E_99, cara=f49, siguiente=E_527, anterior=E_404
Arista E_99: origen=V_74, pareja=E_98, cara=f10, siguiente=E_72, anterior=E_465
Arista E_100: origen=V_50, pareja=E_101, cara=f50, siguiente=E_234, anterior=E_289
Arista E_101: origen=V_80, pareja=E_100, cara=f38, siguiente=E_107, anterior=E_118
Arista E_102: origen=V_81, pareja=E_103, cara=f53, siguiente=E_480, anterior=E_362
Arista E_103: origen=V_82, pareja=E_102, cara=f0, siguiente=E_363, anterior=E_481
Arista E_104: origen=V_83, pareja=E_105, cara=f51, siguiente=E_462, anterior=E_317
Arista E_105: origen=V_84, pareja=E_104, cara=f44, siguiente=E_211, anterior=E_376
Arista E_106: origen=V_60, pareja=E_107, cara=f52, siguiente=E_361, anterior=E_209
Arista E_107: origen=V_50, pareja=E_106, cara=f38, siguiente=E_67, anterior=E_101
Arista E_108: origen=V_85, pareja=E_109, cara=f27, siguiente=E_94, anterior=E_448
Arista E_109: origen=V_76, pareja=E_108, cara=f28, siguiente=E_449, anterior=E_95
Arista E_110: origen=V_86, pareja=E_111, cara=f53, siguiente=E_555, anterior=E_443
Arista E_111: origen=V_87, pareja=E_110, cara=f53, siguiente=E_442, anterior=E_509
Arista E_112: origen=V_11, pareja=E_113, cara=f7, siguiente=E_248, anterior=E_12
Arista E_113: origen=V_88, pareja=E_112, cara=f54, siguiente=E_135, anterior=E_258
Arista E_114: origen=V_89, pareja=E_115, cara=f55, siguiente=E_382, anterior=E_381
Arista E_115: origen=V_90, pareja=E_114, cara=f56, siguiente=E_521, anterior=E_272
Arista E_116: origen=V_17, pareja=E_117, cara=f53, siguiente=E_286, anterior=E_18
Arista E_117: origen=V_91, pareja=E_116, cara=f0, siguiente=E_19, anterior=E_287
Arista E_118: origen=V_92, pareja=E_119, cara=f38, siguiente=E_101, anterior=E_387
Arista E_119: origen=V_80, pareja=E_118, cara=f57, siguiente=E_386, anterior=E_421
Arista E_120: origen=V_93, pareja=E_121, cara=f0, siguiente=E_394, anterior=E_486
Arista E_121: origen=V_94, pareja=E_120, cara=f53, siguiente=E_290, anterior=E_395
Arista E_122: origen=V_95, pareja=E_123, cara=f40, siguiente=E_173, anterior=E_364
Arista E_123: origen=V_96, pareja=E_122, cara=f20, siguiente=E_365, anterior=E_172
Arista E_124: origen=V_97, pareja=E_125, cara=f0, siguiente=E_548, anterior=E_338
