Archivo de vértices
##############################
Nombre     x          y          Incidente 
V_184      149.86     523.11     E_422     
V_185      712.0      704.0      E_553     
V_186      96.0       581.0      E_505     
V_187      189.0      693.0      E_414     
V_188      1095.0     954.0      E_424     
V_189      117.93     651.21     E_556     
V_190      554.0      547.0      E_514     
V_191      703.0      888.0      E_400     
V_192      399.0      911.0      E_477     
V_193      410.0      890.0      E_439     
V_194      978.0      933.0      E_529     
V_195      233.0      822.0      E_490     
V_196      79.0       468.0      E_428     
V_197      83.0       487.0      E_453     
V_198      266.0      676.0      E_485     
V_199      16.0       441.0      E_443     
V_200      26.0       471.0      E_546     
V_201      33.0       493.0      E_547     
V_202      581.0      574.0      E_515     
V_203      82.0       507.0      E_502     
V_204      657.0      694.0      E_472     
V_205      693.0      733.0      E_552     
V_206      104.0      815.0      E_496     
V_207      629.0      666.0      E_550     
V_208      856.0      531.0      E_543     
